efta,sha256
EFTA02730265,4ffdabbb392f3126224b15047081c2aa6acc0b813d73943a8fc3792d40f28901
EFTA02730267,9d37dd235e09612c7d4a8a5af259eb57487169560c711c2aa6102d6c7ee03b80
EFTA02730271,52693ef15adb03ab0a24028422bafbb774c26be35ac439953c00319c58e6ff54
EFTA02730274,7f94f71637b63a2e07bc68591084f0e7efc60238db12f42827a06b78968c1f85
EFTA02730468,17f4a6cf417e41c68d14c464cffafb3a83939aa16324d0c5bcd4f258fbd333ce
EFTA02730469,46931091f6b8eb71b9b3340fee8b931576dd8ebd3b6990444c4e14c6051e7b1b
EFTA02730471,733fda6c52167f76a8415b6b1b1e4ec0da7523954f6db91d1e51834630eb53f1
EFTA02730473,ac0be7650e34bf6cff0ca744dd4443040c3d2113de219ee9dd2aeb0a7b634712
EFTA02730477,ed228324eb39978c4780d013b97b7de93533ee79450dc287a7daa9e4296a7871
EFTA02730481,44ef72120219ba47a2ab51e8df1718efc08bbf716e3528bead1c08c9c93c1fc4
EFTA02730483,e6ead2d17f02790d21566e6137b6d396010dd1a2427c732df3667068067e2e3f
EFTA02730485,7b509fe6cc5d9a1d906f0bb2b0ca42013c4d3192b1cb6b0011616e5ad01ea24e
EFTA02730486,449c459f63f58f3ee002ac15e8a7e449ad0606b097f384a0798d2a2fcab04148
EFTA02730741,13ce2450867b4f18deeabd1e7b78730766e0cb195c1fe1f8d1e08ca75a94f5a9
EFTA02730996,3f3227f62d8b449becef597d2b25f2b557394449ed2dd8d6d37c61e1393167b5
EFTA02731018,35294a2cb0148ff1d45791cea6a56999391fe04c28144f32c7f7a30c2c29259f
EFTA02731023,eb21e327d83f3130a7dec8706d6dcc5cacc432854aa40b9edde47220fb54cac3
EFTA02731039,218a9f1225e1deacd34f0568afcf451b8b98cda1dff8361ea4b72e1966d926af
EFTA02731069,378b76f74b8b3064a8163144ee561d52f4e4184a84e538d1f520188b66824904
EFTA02731082,56aaa00bc22ae3fb68258c8f8fb5e5454cc8de2dc36dc89f494303fbd68033ca
EFTA02731168,c012db112de086c08d6bb077f6c25badd931933377460dfd9a288a4ec97375ea
EFTA02731200,89d78d302dfcc666e7a75bd994d601125089f0915fb8fd8042a2420da5682270
EFTA02731226,98193bf1d112ab43ff2437bc4a929ab47812a5b51c10072c1057c64dbd73c8d0
EFTA02731254,7b26856711ddcb115d3f93a7bd7377346168053bcbd9b0d4e0ed4f444d0fee77
EFTA02731260,9fa79c2a7f2730e1997c4218bbb0ed5c45415af90da49be6e547b5322e16700f
EFTA02731341,aa7fdcd54732bafb6400f706996f5f6120d75e350e9c9867aa6bcffb4c5580af
EFTA02731361,76d55209038b76b67254be86ffe3fd30b2e4f79a9a4beb914a9fdcaed5703cda
EFTA02731393,18eac42bf7074f2e7b5156ce6ed6150d36c1e1f4a7ba1198ab3e1d2ebfd2280f
EFTA02731410,02825c0bd1b8d782b0ecbe6f7150947ab8fe39a38d89aca6c1ea9e75bd1dbffc
EFTA02731411,10d4208729159f94ef9d1cf920270eb364043152a624fe627b96f926f4fe13c5
EFTA02731412,99aac57bfada2b02c92a59adb7fef516bc605289ec5a4489b032c2ee76b1b34f
EFTA02731413,11c69eaf1efc333df1c27c26e59bf1b7ced8bcdc01cd4d45660a64a18ddd1735
EFTA02731414,1d3c33236bc5f915b4085ebe0f7fb0085d118f2b3cef8d5dd185bfb3424a1e43
EFTA02731415,0315f8a426e8b291ff9dd95b2bdf34c4206223f94656fa11b0d7033e2d4beee2
EFTA02731416,9529f09bdc0d754d10d8e7c4bb08177dd22daee4117a4acbb40a5c0a65e11c88
EFTA02731417,2b4eaea36856b004f3f263346617bc800e7327493d43a32e07d7fd3c3d73858b
EFTA02731418,139701caa37ff391535c280a58585bdbdd7ecbaff507583486933c052aa254f3
EFTA02731419,df0928dc0c3f52a486108c3fdf090a59e8283cb1b2393319ea6bc0acad1eab68
EFTA02731420,e2e61617533ac34d2d0e25950c03d71673dbed3919cf10f51c6587cbe964a27f
EFTA02731433,4a7fa1caac9c4c1e7d2c2c4db84370bea0802c68750c519a8ac50089686b874e
EFTA02731465,90e0fb7b59723fc692ff7ac7457177582dc5a1d456497b338c7b1db621fa0c25
EFTA02731473,eb85650e048250d0f561b9472f071ae72be2c9dbf7d60768dc41b069f81cf4bf
EFTA02731475,7e92647ecf74da3c61f82b4d36621e1ead562ee64fdd65edc31e157b4bed5859
