efta,file_size_bytes,pages,words
EFTA00003858,1129921,2,89
EFTA00003862,3258156,4,12
EFTA00003868,16389783,28,1413
EFTA00003919,554354,1,1
EFTA00003921,633456,1,13
EFTA00003923,698274,1,1
EFTA00003925,586685,0,0
EFTA00003927,669829,1,1
EFTA00003929,635648,1,1
EFTA00003931,670593,1,1
EFTA00003933,1205886,2,33
EFTA00003936,1230877,1,1
EFTA00003939,1138314,2,2
EFTA00003942,1229953,2,12
EFTA00003945,1134499,1,1
EFTA00003948,1435686,1,10
EFTA00003951,7730251,21,119
EFTA00004012,2869889,21,67
EFTA00004039,881307,2,2
EFTA00004041,689986,1,1
EFTA00004043,950009,2,4
EFTA00004046,911583,2,4
EFTA00004049,342299,1,4
EFTA00004051,1641756,4,157
EFTA00004055,557689,1,2
EFTA00004057,1645817,3,39
EFTA00004060,1990804,4,135
EFTA00004064,693308,1,1
EFTA00004066,299216,3,255
EFTA00004070,7857623,27,2322
EFTA00004100,1633416,1,1
EFTA00004105,14351817,40,129
EFTA00004157,765554,23,95
EFTA00004179,4035002,45,1778
EFTA00004231,455748,2,97
EFTA00004234,1164090,2,17
EFTA00004243,1134920,0,0
EFTA00004245,157924,3,6
EFTA00004248,548465,0,0
EFTA00004250,39755125,48,758
EFTA00004348,37353544,62,880
EFTA00004448,12283621,22,452
EFTA00004477,44763751,55,1154
EFTA00004577,38574545,62,2119
EFTA00004663,42426551,61,1485
EFTA00004763,15017506,27,729
EFTA00004800,42433819,69,1129
EFTA00004898,31820555,51,825
EFTA00004975,45158854,68,952
EFTA00005075,6837793,10,166
EFTA00005091,42712798,62,2048
EFTA00005191,38850425,55,3899
EFTA00005284,45606876,47,1794
EFTA00005381,2925561,4,5
EFTA00005386,34765089,64,901
EFTA00005486,3693366,5,91
EFTA00005495,1960666,17,65
EFTA00005524,331877,3,4
EFTA00005536,910103,2,13
EFTA00005538,9168427,14,114
EFTA00005561,111288,1,71
EFTA00005563,1341447,2,92
EFTA00005567,277357,0,0
EFTA00005568,118177,1,1
EFTA00005569,2410799,7,321
EFTA00005578,313932,11,2570
EFTA00005586,579117,0,0
