efta,file_size_bytes,pages,words
EFTA00003159,320989,0,0
EFTA00003160,289948,0,0
EFTA00003161,385185,0,0
EFTA00003162,319743,0,0
EFTA00003163,353490,0,0
EFTA00003164,371825,0,0
EFTA00003165,286644,0,0
EFTA00003166,289887,0,0
EFTA00003167,313233,0,0
EFTA00003168,282797,0,0
EFTA00003169,290365,0,0
EFTA00003170,288635,0,0
EFTA00003171,299175,0,0
EFTA00003172,327323,0,0
EFTA00003173,300369,0,0
EFTA00003174,320689,0,0
EFTA00003175,277717,0,0
EFTA00003176,275820,0,0
EFTA00003177,306003,0,0
EFTA00003178,323970,0,0
EFTA00003179,420440,0,0
EFTA00003180,228305,0,0
EFTA00003181,396460,0,0
EFTA00003182,262947,0,0
EFTA00003183,342403,0,0
EFTA00003184,298701,0,0
EFTA00003185,275133,0,0
EFTA00003186,285232,0,0
EFTA00003187,289086,0,0
EFTA00003188,334793,0,0
EFTA00003189,282288,0,0
EFTA00003190,291122,0,0
EFTA00003191,304349,0,0
EFTA00003192,257223,0,0
EFTA00003193,244107,0,0
EFTA00003194,336340,0,0
EFTA00003195,322244,0,0
EFTA00003196,277477,0,0
EFTA00003197,243471,0,0
EFTA00003198,278230,0,0
EFTA00003199,288187,0,0
EFTA00003200,363101,0,0
EFTA00003201,325055,0,0
EFTA00003202,285110,0,0
EFTA00003203,356826,0,0
EFTA00003204,264109,0,0
EFTA00003205,286471,0,0
EFTA00003206,285243,0,0
EFTA00003207,360443,0,0
EFTA00003208,347390,0,0
EFTA00003209,375308,0,0
EFTA00003210,410642,0,0
EFTA00003211,412594,0,0
EFTA00003212,2433,0,0
EFTA00003213,178286,0,0
EFTA00003214,170403,0,0
EFTA00003215,324017,0,0
EFTA00003216,23016582,0,0
EFTA00003236,10415625,0,0
EFTA00003256,15058933,0,0
EFTA00003276,17406596,0,0
EFTA00003296,12468315,0,0
EFTA00003316,399095,0,0
EFTA00003317,296979,0,0
EFTA00003318,385004,0,0
EFTA00003319,532724,0,0
EFTA00003321,517865,0,0
EFTA00003323,348694,0,0
EFTA00003324,341531,0,0
EFTA00003325,375052,0,0
EFTA00003326,367634,0,0
EFTA00003327,237966,0,0
EFTA00003328,338991,0,0
EFTA00003329,270942,0,0
EFTA00003330,202001,0,0
EFTA00003331,228425,0,0
EFTA00003332,320221,0,0
EFTA00003333,353988,0,0
EFTA00003334,273864,0,0
EFTA00003335,276097,0,0
EFTA00003336,298338,0,0
EFTA00003337,227767,0,0
EFTA00003338,233152,0,0
EFTA00003339,237966,0,0
EFTA00003340,338991,0,0
EFTA00003341,270942,0,0
EFTA00003342,203429,0,0
EFTA00003343,320221,0,0
EFTA00003344,320944,0,0
EFTA00003345,353988,0,0
EFTA00003346,273864,0,0
EFTA00003347,276097,0,0
EFTA00003348,298338,0,0
EFTA00003349,291949,0,0
EFTA00003350,270627,0,0
EFTA00003351,258494,0,0
EFTA00003352,407718,0,0
EFTA00003353,525110,0,0
EFTA00003354,558879,0,0
EFTA00003355,564399,0,0
EFTA00003356,458007,0,0
EFTA00003357,542759,0,0
EFTA00003358,580081,0,0
EFTA00003359,610587,0,0
EFTA00003360,133242,0,0
EFTA00003361,407517,0,0
EFTA00003362,449039,0,0
EFTA00003363,119822,0,0
EFTA00003364,245662,0,0
EFTA00003365,259351,0,0
EFTA00003366,274576,0,0
EFTA00003367,258759,0,0
EFTA00003368,344121,0,0
EFTA00003369,308088,0,0
EFTA00003370,403268,0,0
EFTA00003372,342431,0,0
EFTA00003373,275042,0,0
EFTA00003374,290930,0,0
EFTA00003375,291994,0,0
EFTA00003376,267669,0,0
EFTA00003377,253866,0,0
EFTA00003378,283753,0,0
EFTA00003379,253176,0,0
EFTA00003380,254661,0,0
EFTA00003381,259123,0,0
EFTA00003382,1341812,0,0
EFTA00003383,1341940,0,0
EFTA00003384,1129779,0,0
EFTA00003385,1393318,0,0
EFTA00003386,1565030,0,0
EFTA00003387,1677738,0,0
EFTA00003388,1384869,0,0
EFTA00003389,1289478,0,0
EFTA00003390,1525222,0,0
EFTA00003391,1313119,0,0
EFTA00003392,1190039,0,0
EFTA00003393,1257474,0,0
EFTA00003394,1327299,0,0
EFTA00003395,1405692,0,0
EFTA00003396,1664107,0,0
EFTA00003397,2017139,0,0
EFTA00003398,1651979,0,0
EFTA00003399,1642124,0,0
EFTA00003400,1371942,0,0
EFTA00003401,1522067,0,0
EFTA00003402,1416216,0,0
EFTA00003403,1598343,0,0
EFTA00003404,1270680,0,0
EFTA00003405,1412094,0,0
EFTA00003406,1579536,0,0
EFTA00003407,1729352,0,0
EFTA00003408,1415928,0,0
EFTA00003409,1501017,0,0
EFTA00003410,1487398,0,0
EFTA00003411,1491443,0,0
EFTA00003412,1407968,0,0
EFTA00003413,1312753,0,0
EFTA00003414,1463855,0,0
EFTA00003415,1437591,0,0
EFTA00003416,1363362,0,0
EFTA00003417,1459780,0,0
EFTA00003418,1544302,0,0
EFTA00003419,1422029,0,0
EFTA00003420,1511632,0,0
EFTA00003421,1528724,0,0
EFTA00003422,1555774,0,0
EFTA00003423,1617366,0,0
EFTA00003424,1642036,0,0
EFTA00003425,1685409,0,0
EFTA00003426,1502434,0,0
EFTA00003427,1397835,0,0
EFTA00003428,1423901,0,0
EFTA00003429,1453992,0,0
EFTA00003430,1372158,0,0
EFTA00003431,1319125,0,0
EFTA00003432,1120166,0,0
EFTA00003433,1327345,0,0
EFTA00003434,1333239,0,0
EFTA00003435,1452883,0,0
EFTA00003436,1453138,0,0
EFTA00003437,1502782,0,0
EFTA00003438,1085115,0,0
EFTA00003439,1417806,0,0
EFTA00003440,1263278,0,0
EFTA00003441,1369886,0,0
EFTA00003442,1678616,0,0
EFTA00003443,1511840,0,0
EFTA00003444,1435322,0,0
EFTA00003445,1389379,0,0
