efta,sha256
EFTA00003858,f1b6eddeb9ff47c3014cadc873e230dbe30e3865cba3fcc034cfc98a1b51ff02
EFTA00003862,b38fea7364eadfccb6283247970fb742482a43ae9606325bc815dd3cee513ece
EFTA00003868,758ec411ce57d897b6477b22daa6bef3b7b9b744e2c18fbb9284c0d1e01292de
EFTA00003919,5f851dab49182afe55eae6a8893f29165a0ec2f4c9d18f7b4a9d699847361fd0
EFTA00003921,fe1fb712b2c1668a5cf7ead1b8dad9f97865e62738404c6100e0729b8d5bfdc1
EFTA00003923,ce9ee3a138f7e11d33de8f1d56b58c07c6416f7f7e9cac2bdd760cbe308bfebb
EFTA00003925,c69982ca60690746aef1b700a9296e3c49161129bc03159ee2719908d9138941
EFTA00003927,dded36480bc7322570204494322ea808ae41579b83a58e6208663c757c2ca33c
EFTA00003929,a64fe8dd417abcd3fd2ab56912f625d9ac853cb1836accadf0f6b5999823ef5c
EFTA00003931,c8bf70cfd49c3242afc8002c4280b5f2aa0c7db71bca1bbd6ac402a688280bfc
EFTA00003933,65a5bae1b22724111a9c24ddd172ad9d3297e7c1676dab38b1106469de88b2ff
EFTA00003936,3d059b2bab55ebc84741fddf2ab5dac981ee65b46c0b50d7ddb614c73517e04e
EFTA00003939,cb0cdcf145c38eda348318a3c49edcd5d653eb14733b7a2ed14002430eed22fe
EFTA00003942,3c12e083db56d3538e1e904fdc0c36b575593229cb34f8def7b58cfdfe027c4f
EFTA00003945,5f311ff8b7ef30c90ead00c29bd0ba073e9403b7c5f89e31e8e4a01e9f683f7c
EFTA00003948,c4e3383690e18f3eb50aedc8e9f73bbc7f4451f6cbf4457039882c80c0205477
EFTA00003951,b82dd35f4cafbf0c1fe38fc8867bf09cc0fb4616971f742d5185a4e7c8ed4884
EFTA00004012,5adf1bc0819ab23ca1e2fd5fb73155e0d7f0c8806d8574c0c17fe6658c540839
EFTA00004039,20da20de426f9a671e18d79b96fc08bd87cb197e6ee257d4e082396adc3ac98a
EFTA00004041,447f821a29896d6b7c7e53dc9043d55e546d55eff759c0e801be1ae414df5096
EFTA00004043,686ce64493dcbae6e1bbee8db05e30d4787c5c0680e66bbd74ae51745424a820
EFTA00004046,72fef03db8125b79882838c43a4266e43d691059246e926098d39f1ed0b32712
EFTA00004049,38f692566b86113d969cd3e5ca3f1abbad90a65331fef073fb2b98f1ec0616dd
EFTA00004051,5f739475755e3044d52eba0d8e18deb124b40cfadeab3493a2d8a314fb735fb9
EFTA00004055,6f568897b3a806b95e55ccb266f9263e4c99ab705c8cc6989c6738e82a9fc150
EFTA00004057,22cffce7fa8d64b45c20adc9a76e5f2ac8ee8f1af898d72a4d8059918eec7ad3
EFTA00004060,c51f98989dff7fceed3e4859439bcaae59d2df267dc3899cecebd93c506e2495
EFTA00004064,a513b2a59c665c085f8ae999eb5a85e65d91b7ffea077f6736b54609783b2315
EFTA00004066,7264eb466b1d7ab792284fc3189e6852c78cbf87546a7b67ba12a95cfa31996c
EFTA00004070,c2976149c45c31b98dcb8e89699964b7974ccc451cd284f6222d633fba6453f3
EFTA00004100,f69c71202f8cb4555630ea96150e424606cad6590a6a0f0cfab04b11afd03371
EFTA00004105,a4060afdde63a4a25516ef6e7fcfc48f24e3e9cd3fb17eb72f3767785a494f61
EFTA00004157,7b8e0a50bd0ef5e72a3e128895cdbd84ae86e30981b75b613e0fae049af47672
EFTA00004179,be177c80c9f154aaa9c242c1a259e10a5dfe1dd9e01971d3916e9be923b2c351
EFTA00004231,c8fd4649d5434f725917364d3d50d0198e26398257c179860ad9b3e8d5590bf9
EFTA00004234,f2d83d9365659d634eeea5b6d74ec930ffc60657c011a0abbabe85459befc4b0
EFTA00004243,9cb9fe4b5d87eb228fdfea850dd95562205af6f52fe65b7958f05f5c73a6a1de
EFTA00004245,99273e36fb9c3fb04ad4a3b7c18d2b5c5a3847c59efd3da7cf2ba4fcc4dfc80f
EFTA00004248,e4bd0bc6a048e81a7ee061eb33aff7b2f2ed1e34c18d3259408f224f5d166a81
EFTA00004250,c2513e335c5c23c7bfecf26eb52b0fa5dc663b0805fd107281f69a4ef00a4881
EFTA00004348,a6c441bc0fce8861a4046b410050203685157dc17ee832995c07767c70c18847
EFTA00004448,78db7bbf37dde47bf97f7e729360600364cfc5fabb8dd052683b80637ed3e03e
EFTA00004477,0f90a29d3801d2bbcb4c90d0de9abf021c1d48527325ffae11fc6bedb9c1322a
EFTA00004577,68c6494cb0ef5963fb7cff6aa61e693383cba442d8cc36836b7f315c9f49acc1
EFTA00004663,6710c2583395fe8d612d66fd2fa3bb312eaf20189f249ce0f03ff94862cf64b1
EFTA00004763,6a6bddf2c43a1ecbc427dde248ec8f592363a7efa19ce60f859ff1f73d04e957
EFTA00004800,ddc9f128ad266fe71536fa82e0657b3c9812dcf3c7d69826b074552a6048a948
EFTA00004898,cf6db5a36f5662bc09574ebf241a3f570d001310ed58461ddd194543cf4f9c19
EFTA00004975,36df41cd45d359d5f4692528047b6a65421f101d73c2783d9d15ce658d41847e
EFTA00005075,0bdb0d1081d4b1f9c549284cb06f0d871a79c64fb6dfa01b474cb9505d57783f
EFTA00005091,fa28874f7c9e6f0951eab7e207d27a4612ab4342209847089ad52da7093e8717
EFTA00005191,ba976dfada47c1ee0c6fbbfaed0845e718cf36579fb436aa7cb993d2f22d1710
EFTA00005284,bc5007bf24890c3e1de12a52f617fee71540eb53ed1e7b8bf27af6831f39a688
EFTA00005381,f4aedb7c73896fe99b643b3aceaa2d3005996bae561acc8c2e7dc20f9cb7f66e
EFTA00005386,4242417d8fceaf6936f6f76853f8a6a170af665f3b3bef0f9f43932540558b0b
EFTA00005486,21743aab3bc0a505c7d7f8c0074d5d2fc2a4413001a0a7584b8970aeb5c92eec
EFTA00005495,9759fb6fc2ab462b768a567b9c425607cdb8afcafa9886392914fc0a2902097f
EFTA00005524,51708d45a1d915a5ffc3687051fcd4850c6be610be3f07ff1b70f610237c2b3a
EFTA00005536,dd89586bee41592805b562ef6f4405ba1f7de0331b10f9513c76f719894ec905
EFTA00005538,0eb957522d4f35c5f4c0ced32970b5271b455d9c1191ddaefb30fc072d3e4e9e
EFTA00005561,1c45996640ad6d6c6e0263cf10e2b982dd4d9e50d0cae32898c1234d07118ce1
EFTA00005563,62e1ec94357ac6cceb80a5b40b81c0dcd2740418ae896554ccf8e5906c9a86f0
EFTA00005567,e0f3a447fb98915b1aebf5f62cf55db6234f4cb3287ccceeeafbeb50ad58d07f
EFTA00005568,8cdc312133d1eae265296f6bc3dde137f559974fc2862071af0c99cddfdcda36
EFTA00005569,f6b3cea3bf8e11c641c235ba2160ed69f82362360088365e3cb6f7a07d5f6bde
EFTA00005578,5ada6e3be90b882812bfd32f6fab9c24c1d327ad99cebf6c562bf81c1571cb1a
EFTA00005586,2ca8bfbe49f98b91cb43f0a230b21f7a16d05374ae69d92204f77a72da634a84
