efta,sha256
EFTA00000001,d8f6ba273d416f1b3160b94b5646374b218a9ecef9d2cb3ae33cd3788f8f862b
EFTA00000002,ecc2e2d3d973ff5228afe7d82e5e0f3997bd0e289b809537ae4f0b9632759163
EFTA00000003,9984b85e1c344e5bd41f409abf50201b457657ca49a2e3c05d2e134a9fda0db8
EFTA00000004,50cf9127d84ede750b817931dc84912915c78969ed00db58cee90afaea16b48a
EFTA00000005,aa40cd6b9f5b22520a515698a6996703f29ced9ef8d0cac4c01b9ff46b7d5a57
EFTA00000006,81218bc99a506382aef359dd92e892f9c531a87efce5423d2a37c64d69c3cb57
EFTA00000007,a1a00fc9ea97fc77c13bed0c2cdff7e7373e7e25b4047fe5aaea74bc3634e240
EFTA00000008,6090954478e3df7a5b69d18fa7278e16311f1cfaa668ea84a3122073db6bc012
EFTA00000009,605248ca80a66f0df89693111cd38cf6de3ee1bacc232a7a48eeb44cc812711a
EFTA00000010,ac4f8c48e06f017cbcf24a184a469759e711279bf5f492b34604cba39e00083a
EFTA00000011,5c368a98b7febf6ec02d8423edf08761d2b400befb017e5693f9c254486c3199
EFTA00000012,efd7786d8fad3053d44b5dd003d21fa0228a5a6d27723b9f58a8e1e54d78c9f5
EFTA00000013,b8f5029742559522919ddc4fcc3ea581369c140549517e4ed5a57cefa4ce8dad
EFTA00000014,9dee4374c955daf75faea309db3b9ae1aefdd09355d2ed7df94d192c895ac0c7
EFTA00000015,e5505fb89dd2d9e1962e8c25cec6e73b9c12e74be24c057efc3d0a27e461559a
EFTA00000016,f9d2f8bf0539ad83acd3cfafd7c45d7db51cad17c6b5bf47347c3fc82f0b9735
EFTA00000017,e054a1f75b08cd8700664702c5644868d5f6e5911adb637e087ba614b3de8dd8
EFTA00000018,facded5df4d3a3cca403f9d170fa0794d2fd8d8ca23b91fd43740677655f1984
EFTA00000019,e5bcc85d963ce1f1b0273c04e7cdfea0ac363c5c4fdff3b229d86835583546f5
EFTA00000020,2080e0456bbbee8f5bdb813cd86e19c0dc54f9cf1ed9c8c88d64d863bf22d504
EFTA00000021,fd819e1c7efa0c5e8c6b24826fad4c8a2c2e7f9d6009590ae211db0a9068a758
EFTA00000022,b2eb878e612e7a8d4f7fb61e6f6d6a28dc2b7e542a7a7c648350914e89f22a63
EFTA00000023,2e03e51b68520c02a5dd8a8595786410929274e37ffdf9fd4e64127e6f76afc4
EFTA00000024,b4facacde4a6c54da67090817d8c29e8605f5ac217dcf8b6d1558cce754d72a9
EFTA00000025,777629bd2d9cd334bec47b53e8138b54bf682103996f3c641c3e5f68b6aa3213
