efta,file_size_bytes,pages,words
EFTA00009975,17067,1,35
EFTA00009976,51813,1,205
EFTA00009977,95967,3,332
EFTA00009980,36473,1,124
EFTA00009981,77447,2,312
EFTA00009983,70451,2,332
EFTA00009985,45597,1,164
EFTA00009986,115039,2,216
EFTA00009988,579760,20,2615
EFTA00010008,128996,2,184
EFTA00010010,1366969,6,1643
EFTA00010016,36072,1,119
EFTA00010017,101035,2,388
EFTA00010019,19287,1,52
EFTA00010020,21633,1,67
EFTA00010021,27046,1,116
EFTA00010022,105048,2,418
EFTA00010024,42296,1,163
EFTA00010025,366502,9,3332
EFTA00010034,22920,1,50
EFTA00010035,13208,1,36
EFTA00010036,25981,1,73
EFTA00010037,139048,3,587
EFTA00010040,137374,3,586
EFTA00010043,53668,2,216
EFTA00010045,2597164,16,4983
EFTA00010061,38559,1,162
EFTA00010062,309036,7,2415
EFTA00010069,247463,6,1868
EFTA00010075,155929,3,746
EFTA00010078,254036,5,1135
EFTA00010083,688868,14,4175
EFTA00010097,118054,3,594
EFTA00010100,88208,2,492
EFTA00010102,61540,2,208
EFTA00010104,33363,1,78
EFTA00010105,345201,6,1574
EFTA00010111,345296,6,1513
EFTA00010117,23447,1,75
EFTA00010118,527553,8,2432
EFTA00010126,15425,1,28
EFTA00010127,14217,1,30
EFTA00010128,23741,1,53
EFTA00010129,31642,1,95
EFTA00010130,41659,1,126
EFTA00010131,965406,0,0
EFTA00010132,49079,1,155
EFTA00010133,91358,2,317
EFTA00010135,40695,1,121
EFTA00010136,58085,2,191
EFTA00010138,34295,1,87
EFTA00010139,101822,2,503
EFTA00010141,13559,1,24
EFTA00010142,21004,1,41
EFTA00010143,15295,1,26
EFTA00010144,19194,1,63
EFTA00010145,134469,3,713
EFTA00010148,14573,1,37
EFTA00010149,28435,1,124
EFTA00010150,104390,2,421
EFTA00010152,30272,1,82
EFTA00010153,29428,1,88
EFTA00010154,20770,1,49
EFTA00010155,88618,2,341
EFTA00010157,72227,2,354
EFTA00010159,45300,1,144
EFTA00010160,96259,2,340
EFTA00010162,104409,2,440
EFTA00010164,131748,3,604
EFTA00010167,13506,5,5
EFTA00010172,45807,2,159
EFTA00010174,100832,2,404
EFTA00010176,104263,2,421
EFTA00010178,70291,2,225
EFTA00010180,95858,2,372
EFTA00010182,33379,1,105
EFTA00010183,30716,1,104
EFTA00010184,50719,1,172
EFTA00010185,17512,1,35
EFTA00010186,29667,1,142
EFTA00010187,101147,2,411
EFTA00010189,29020,1,76
EFTA00010190,13111,4,4
EFTA00010194,53576,1,135
EFTA00010195,14938,1,16
EFTA00010196,170405,2,693
EFTA00010198,7852,1,5
EFTA00010199,38966,1,136
EFTA00010200,48718,2,161
EFTA00010202,32105,1,116
EFTA00010203,672157,8,2895
EFTA00010211,79424,2,280
EFTA00010213,29837,1,155
EFTA00010214,104099,2,433
EFTA00010216,22811,1,72
EFTA00010217,41410,1,124
EFTA00010218,79707,2,280
EFTA00010220,23515,1,85
EFTA00010221,103016,2,422
EFTA00010223,43358,1,134
EFTA00010224,2620630,16,5002
EFTA00010240,68406,1,315
EFTA00010241,69990,2,327
EFTA00010243,90393,1,221
EFTA00010244,33807,1,151
EFTA00010245,178022,4,816
EFTA00010249,165952,3,639
EFTA00010252,211292,4,985
EFTA00010256,225236,4,1065
EFTA00010260,23372,1,50
EFTA00010261,339395,6,1736
EFTA00010267,19082,1,40
EFTA00010268,163057,4,819
EFTA00010272,60021,1,215
EFTA00010273,61898,1,219
EFTA00010274,61719,1,231
EFTA00010275,28432,1,69
EFTA00010276,42508,1,149
EFTA00010277,422483,7,1655
EFTA00010284,38013,1,168
EFTA00010285,52734,2,283
EFTA00010287,122258,2,475
EFTA00010289,13357,1,28
EFTA00010290,21633,1,44
EFTA00010291,23319,1,36
EFTA00010292,78335,2,223
EFTA00010294,252954,4,1081
EFTA00010298,21928,1,43
EFTA00010299,14208,1,24
EFTA00010300,21563,1,43
EFTA00010301,30776,1,52
EFTA00010302,16745,1,35
EFTA00010303,27666,1,93
EFTA00010304,37758,1,139
EFTA00010305,767380,15,2295
EFTA00010320,25017,1,44
EFTA00010321,375510,6,2147
EFTA00010327,15316,1,32
EFTA00010328,13445,1,28
EFTA00010329,21929,1,45
EFTA00010330,60232,1,218
EFTA00010331,122914,2,552
EFTA00010333,47062,1,177
EFTA00010334,326571,4,437
EFTA00010338,37513,1,154
EFTA00010339,30201,1,94
EFTA00010340,40353,1,154
EFTA00010341,29985,1,99
EFTA00010342,29870,1,97
EFTA00010343,29309,1,94
EFTA00010344,18260,1,36
EFTA00010345,254660,6,1918
EFTA00010351,226299,4,1026
EFTA00010355,55632,1,199
EFTA00010356,56182,1,201
EFTA00010357,56321,1,202
EFTA00010358,88934,2,399
EFTA00010360,87041,2,393
EFTA00010362,114071,2,577
EFTA00010364,133927,3,650
EFTA00010367,127046,3,618
EFTA00010370,106427,2,521
EFTA00010372,94417,2,289
EFTA00010374,54004,2,167
EFTA00010376,27370,1,54
EFTA00010377,34507,1,122
EFTA00010378,26938,1,123
EFTA00010379,22470,1,86
EFTA00010380,85064,2,305
EFTA00010382,30367,1,95
EFTA00010383,90664,1,205
EFTA00010384,55126,1,205
EFTA00010385,22066,1,47
EFTA00010386,938132,24,3481
EFTA00010410,181210,3,520
EFTA00010413,14626,1,18
EFTA00010414,179699,3,838
EFTA00010417,72249,2,284
EFTA00010419,68788,2,256
EFTA00010421,38008,1,128
EFTA00010422,247858,3,581
EFTA00010425,25066,1,49
EFTA00010426,14497,1,29
EFTA00010427,105885,2,429
EFTA00010429,92808,2,452
EFTA00010431,39746,1,213
EFTA00010432,116848,3,579
EFTA00010435,77915,2,381
EFTA00010437,147328,3,765
EFTA00010440,320537,5,1978
EFTA00010445,239616,5,1195
EFTA00010450,17363,1,52
EFTA00010451,53490,1,206
EFTA00010452,38717,2,149
EFTA00010454,385263,6,1463
EFTA00010460,97976,2,511
EFTA00010462,19557,1,49
EFTA00010463,4532,1,1
EFTA00010464,30785,1,72
EFTA00010465,22586,1,63
EFTA00010466,25114,1,42
EFTA00010467,30451,2,51
EFTA00010470,25773,1,60
EFTA00010471,161919,3,499
EFTA00010474,1368389,20,5238
EFTA00010494,24096,1,54
EFTA00010495,666751,1,663
EFTA00010496,3728190,11,5437
EFTA00010507,2291702,33,11272
EFTA00010540,20983,1,42
EFTA00010541,27973,1,55
EFTA00010542,2452407,32,8656
EFTA00010574,21473,1,65
EFTA00010575,13528,1,25
EFTA00010576,19540,1,38
EFTA00010577,49721,2,167
EFTA00010579,18381,1,49
EFTA00010580,14052,1,25
EFTA00010581,21830,1,44
EFTA00010582,19119,1,53
EFTA00010583,20426,1,48
EFTA00010584,25324,1,68
EFTA00010585,15581,1,33
EFTA00010586,14717,1,21
EFTA00010587,1004729,25,3783
EFTA00010612,121528,2,253
EFTA00010614,61565,2,310
EFTA00010616,136606,3,710
EFTA00010619,16059,1,37
EFTA00010620,4244962,74,9709
EFTA00010694,113380,1,1
EFTA00010695,114914,0,0
EFTA00010696,134925,2,360
EFTA00010698,159868,2,343
EFTA00010700,43950,1,166
EFTA00010701,23393,1,78
EFTA00010702,297045,5,1608
EFTA00010707,2433,0,0
EFTA00010708,36842,1,110
EFTA00010709,23547,1,77
EFTA00010710,722284,14,2105
EFTA00010724,1377456,26,4078
EFTA00010750,876939,17,2553
EFTA00010767,1008859,19,2966
EFTA00010786,1460704,27,4388
EFTA00010813,122070,3,599
EFTA00010816,63111,1,267
EFTA00010817,57464,1,221
EFTA00010818,43503,1,234
EFTA00010819,8256764,122,35371
EFTA00010941,128470,2,496
EFTA00010943,128618,2,530
EFTA00010945,60799,1,296
EFTA00010946,92930,2,489
EFTA00010948,107174,3,520
EFTA00010951,111219,3,571
EFTA00010954,33130,1,129
EFTA00010955,55967,1,75
EFTA00010956,862838,9,4711
EFTA00010965,45829,3,161
EFTA00010968,858868,20,3998
EFTA00010988,72666,2,346
EFTA00010990,280424,3,1351
EFTA00010993,2973311,18,3183
EFTA00011011,155389,13,290
EFTA00011024,26483,1,67
EFTA00011025,142352,1,351
EFTA00011026,154169,2,382
EFTA00011028,545142,7,2823
EFTA00011035,23292,1,38
EFTA00011036,54149,1,219
EFTA00011037,100435,2,632
EFTA00011039,648309,7,3020
EFTA00011046,53147,2,181
EFTA00011048,90006,2,368
EFTA00011050,28279,1,98
EFTA00011051,1247455,23,3716
EFTA00011074,145819,3,404
EFTA00011078,249333,6,706
EFTA00011084,360760,8,976
EFTA00011092,22909,1,56
EFTA00011093,24623,1,96
EFTA00011094,31484,1,84
EFTA00011095,21350,1,50
EFTA00011096,1032360,17,4736
EFTA00011113,83254,2,354
EFTA00011115,1089678,17,4905
EFTA00011132,25567,1,57
EFTA00011133,87784,2,371
EFTA00011135,64380,2,232
EFTA00011137,83516,2,226
EFTA00011139,19905,1,73
EFTA00011140,19295,1,53
EFTA00011141,21429,1,29
EFTA00011142,181635,3,1347
EFTA00011145,55386,1,198
EFTA00011146,31065,1,130
EFTA00011147,66019,2,282
EFTA00011149,696572,8,3076
EFTA00011157,293401,4,1265
EFTA00011161,31709,1,89
EFTA00011162,17448,1,38
EFTA00011163,21374,1,71
EFTA00011164,80156,2,273
EFTA00011166,23889,1,40
EFTA00011167,56024,1,218
EFTA00011168,226155,4,549
EFTA00011172,211194,5,1000
EFTA00011177,167646,2,328
EFTA00011179,52344,1,212
EFTA00011180,144612,4,579
EFTA00011184,241739,3,144
EFTA00011187,248139,5,1055
EFTA00011192,1676139,29,8856
EFTA00011221,1718833,30,8658
EFTA00011251,80529,2,329
EFTA00011253,57208,1,230
EFTA00011254,16746,5,6
EFTA00011259,425926,7,2385
EFTA00011266,29105,1,101
EFTA00011267,129766,2,498
EFTA00011269,21432,1,32
EFTA00011270,15379,1,46
EFTA00011271,63051,24,24
EFTA00011295,7423,3,3
EFTA00011298,5373,2,2
EFTA00011300,52625,20,20
EFTA00011320,52625,20,20
EFTA00011340,10929,4,4
EFTA00011344,5781,2,2
EFTA00011346,20129,1,51
EFTA00011347,5781,2,2
EFTA00011349,60292,2,181
EFTA00011351,83867,2,399
EFTA00011353,74448,2,293
EFTA00011355,11353,1,19
EFTA00011356,21685,1,45
EFTA00011357,35249,1,134
EFTA00011358,31110,1,187
EFTA00011359,13105,1,27
EFTA00011360,19978,1,62
EFTA00011361,57068,1,211
EFTA00011362,12062,1,19
EFTA00011363,50123,1,290
EFTA00011364,21937,1,50
EFTA00011365,1516965,19,2764
EFTA00011384,21065,1,63
EFTA00011385,39792,1,159
EFTA00011386,1204499,16,3233
EFTA00011402,82595,2,488
EFTA00011404,512181,5,2421
EFTA00011409,60680,2,266
EFTA00011411,85489,2,136
EFTA00011413,34810,1,127
EFTA00011414,47869,2,175
EFTA00011416,20379,1,32
EFTA00011417,43152,1,162
EFTA00011418,569288,8,2675
EFTA00011426,44964,2,183
EFTA00011428,32183,1,107
EFTA00011429,36628,1,127
EFTA00011430,39489,1,141
EFTA00011431,24979,1,106
EFTA00011432,41914,1,153
EFTA00011433,20232,1,63
EFTA00011434,19200,1,80
EFTA00011435,64261,2,300
EFTA00011437,27789,1,137
EFTA00011438,85178,2,502
EFTA00011440,34560,1,174
EFTA00011441,43255,1,245
EFTA00011442,118710,2,444
EFTA00011444,16672,1,36
EFTA00011445,579921,7,1181
EFTA00011452,1448457,23,6037
EFTA00011475,1253951,14,6639
EFTA00011489,341948,5,2005
EFTA00011494,20632,1,35
EFTA00011495,23081,1,80
EFTA00011496,138404,1,183
EFTA00011497,34359,1,111
EFTA00011498,20562,1,44
EFTA00011499,19385,1,28
EFTA00011500,17263,1,41
EFTA00011501,79612,2,396
EFTA00011503,103281,2,513
EFTA00011505,46696,1,208
EFTA00011506,15041,1,35
EFTA00011507,27850,2,86
EFTA00011509,32222,1,87
EFTA00011510,156181,2,295
EFTA00011512,67110,2,281
EFTA00011514,41460,1,159
EFTA00011515,23354,1,80
EFTA00011516,24691,2,74
EFTA00011518,42315,1,126
EFTA00011519,35736,1,125
EFTA00011520,592680,6,2863
EFTA00011526,45104,1,251
EFTA00011527,101634,2,620
EFTA00011529,13567,1,21
EFTA00011530,32350,1,113
EFTA00011531,8850124,137,22487
EFTA00011669,32626476,439,74521
EFTA00012111,71909707,1057,170661
EFTA00013171,19867,1,37
EFTA00013172,15980,1,42
EFTA00013173,22649,1,63
EFTA00013174,39660,1,170
EFTA00013175,37630,1,158
EFTA00013176,145928,3,867
EFTA00013179,20511,1,50
EFTA00013180,61380,1,199
EFTA00013181,60065,2,260
EFTA00013183,24183,1,51
EFTA00013184,75185,2,398
EFTA00013186,31751,1,105
EFTA00013187,67801,2,200
EFTA00013189,18265,1,29
EFTA00013190,11972,1,18
EFTA00013191,20602,1,39
EFTA00013192,12059,1,23
EFTA00013193,20033,1,39
EFTA00013194,55903,2,254
EFTA00013196,40454,1,153
EFTA00013197,21766,1,31
EFTA00013198,20787,1,37
EFTA00013199,208838,3,899
EFTA00013202,131787,3,648
EFTA00013205,101440,2,547
EFTA00013207,20989,1,30
EFTA00013208,42599,1,153
EFTA00013209,51476,2,195
EFTA00013211,53270,2,235
EFTA00013213,28506,1,166
EFTA00013214,25847,1,84
EFTA00013215,29635,1,104
EFTA00013216,128340,2,503
EFTA00013218,35425,1,88
EFTA00013219,37592,1,83
EFTA00013220,53375,2,214
EFTA00013222,183155,3,1020
EFTA00013225,601483,10,3287
EFTA00013235,227684,4,982
EFTA00013239,27670,1,142
EFTA00013240,21915,1,31
EFTA00013241,48908,1,182
EFTA00013242,19766,1,47
EFTA00013243,48552,1,259
EFTA00013244,20269,1,37
EFTA00013245,277106,5,1657
EFTA00013250,22066,1,34
EFTA00013251,78834,2,340
EFTA00013253,328359,5,1236
EFTA00013258,78548,2,350
EFTA00013260,20445,1,32
EFTA00013261,353097,5,2227
EFTA00013266,17471,1,25
EFTA00013267,47675,2,212
EFTA00013269,16294,1,31
EFTA00013270,17288,1,37
EFTA00013271,34221,1,167
EFTA00013272,190595,2,399
EFTA00013274,24053,1,97
EFTA00013275,15063,1,23
EFTA00013276,40028,1,180
EFTA00013277,104976,2,441
EFTA00013279,321583,7,1349
EFTA00013286,15972,1,20
EFTA00013287,94537,2,402
EFTA00013289,37022,1,194
EFTA00013290,198108,3,997
EFTA00013293,116938,3,521
EFTA00013296,118009,3,527
EFTA00013299,24071,1,42
EFTA00013300,40944,1,132
EFTA00013301,32545,1,109
EFTA00013302,49222,1,154
EFTA00013303,92414,2,400
EFTA00013305,87628,2,379
EFTA00013307,1423612,22,6912
EFTA00013329,281378,4,1345
EFTA00013333,310388,4,1429
EFTA00013337,342384,5,1600
EFTA00013342,328811,5,1486
EFTA00013347,25017,1,40
EFTA00013348,70060,2,214
EFTA00013350,11430,1,23
EFTA00013351,18269,1,36
EFTA00013352,12651,1,18
EFTA00013353,22884,1,49
EFTA00013354,22168,1,72
EFTA00013355,126506,3,452
EFTA00013358,26216,1,47
EFTA00013359,1253292,13,6633
EFTA00013372,30367,1,95
EFTA00013373,1357919,16,7252
EFTA00013389,148292,2,754
EFTA00013391,181081,2,830
EFTA00013393,26274,1,89
EFTA00013394,58868,1,208
EFTA00013395,79163,2,371
EFTA00013397,4670,0,0
EFTA00013398,2278238,24,5136
EFTA00013422,68491,2,287
EFTA00013424,27162,1,58
EFTA00013425,59119,2,252
EFTA00013427,38743,1,221
EFTA00013428,40237,1,109
EFTA00013429,55302,1,295
EFTA00013430,33897,1,138
EFTA00013431,31088,1,109
EFTA00013432,22775,1,49
EFTA00013433,28565,1,124
EFTA00013434,63854,2,285
EFTA00013436,45126,2,193
EFTA00013438,56150,2,235
EFTA00013440,18981,1,38
EFTA00013441,33313,1,126
EFTA00013442,11006,1,18
EFTA00013443,11967,1,21
EFTA00013444,18602,1,37
EFTA00013445,19395,1,44
EFTA00013446,94505,2,460
EFTA00013448,393077,7,2295
EFTA00013455,102884,2,500
EFTA00013457,14145,1,27
EFTA00013458,19372,1,47
EFTA00013459,45366,1,167
EFTA00013460,10796,1,16
EFTA00013461,17366,1,34
EFTA00013462,15681,1,40
EFTA00013463,20579,1,64
EFTA00013464,17637,1,51
EFTA00013465,18362,1,33
EFTA00013466,20825,1,41
EFTA00013467,23201,1,49
EFTA00013468,18443,1,33
EFTA00013469,19958,1,39
EFTA00013470,20307,1,39
EFTA00013471,16923,1,35
EFTA00013472,21047,1,44
EFTA00013473,15540,1,29
EFTA00013474,22108,1,42
EFTA00013475,20475,1,40
EFTA00013476,18041,1,37
EFTA00013477,21433,1,43
EFTA00013478,18978,1,39
EFTA00013479,15935,1,31
EFTA00013480,24932,1,51
EFTA00013481,15925,1,31
EFTA00013482,19719,1,38
EFTA00013483,20270,1,39
EFTA00013484,16629,1,35
EFTA00013485,21006,1,45
EFTA00013486,15285,1,29
EFTA00013487,21884,1,42
EFTA00013488,22801,1,46
EFTA00013489,17868,1,37
EFTA00013490,21001,1,43
EFTA00013491,18607,1,35
EFTA00013492,14227,1,28
EFTA00013493,17179,1,58
EFTA00013494,63609,1,354
EFTA00013495,30152,1,102
EFTA00013496,35519,1,119
EFTA00013497,80419,2,380
EFTA00013499,193966,4,861
EFTA00013503,158989,3,857
EFTA00013506,81629,2,379
EFTA00013508,148238,3,846
EFTA00013511,239256,3,1165
EFTA00013514,84812,1,359
EFTA00013515,176880,3,1068
EFTA00013518,26951,1,102
EFTA00013519,84827,1,359
EFTA00013520,34678,1,134
EFTA00013521,83296,2,393
EFTA00013523,49887,1,264
EFTA00013524,79759,2,379
EFTA00013526,22049,1,62
EFTA00013527,21723,1,57
EFTA00013528,65601,2,306
EFTA00013530,22526,1,80
EFTA00013531,38491,1,233
EFTA00013532,19079,1,51
EFTA00013533,172466,3,351
EFTA00013536,21965,1,76
EFTA00013537,33169,1,129
EFTA00013538,382870,5,2261
EFTA00013543,68804,2,324
EFTA00013545,19229,1,38
EFTA00013546,95556,2,330
EFTA00013548,13438,1,44
EFTA00013549,52140,1,273
EFTA00013550,55879,2,223
EFTA00013552,73816,1,519
EFTA00013553,41590,1,139
EFTA00013554,22168,1,59
EFTA00013555,93040,1,227
EFTA00013556,21074,1,45
EFTA00013557,18504,1,57
EFTA00013558,16405,1,37
EFTA00013559,18832,1,38
EFTA00013560,268420,4,505
EFTA00013564,197988,4,371
EFTA00013568,24335,1,83
EFTA00013569,54119,1,242
EFTA00013570,1814047,16,4577
EFTA00013586,33412,1,106
EFTA00013587,235212,2,578
EFTA00013589,29855,1,102
EFTA00013590,48864,1,241
EFTA00013591,12754,1,22
EFTA00013592,13267,1,25
EFTA00013593,12255,1,19
EFTA00013594,13341,1,28
EFTA00013595,900154,7,2404
EFTA00013602,71612,2,321
EFTA00013604,13066,1,23
EFTA00013605,24781,1,96
EFTA00013606,34362,1,180
EFTA00013607,18324,1,66
EFTA00013608,22336,1,66
EFTA00013609,35946,1,133
EFTA00013610,66134,2,314
EFTA00013612,194272,4,861
EFTA00013616,144046,2,851
EFTA00013618,55796,1,276
EFTA00013619,182990,3,1065
EFTA00013622,20769,1,52
EFTA00013623,248938,3,1222
EFTA00013626,16435,1,40
EFTA00013627,17671,1,45
EFTA00013628,29962,1,114
EFTA00013629,17535,1,43
EFTA00013630,299951,1,560
EFTA00013631,30692,1,103
EFTA00013632,63731,2,308
EFTA00013634,44707,1,152
EFTA00013635,429007,5,2081
EFTA00013640,764093,9,4256
EFTA00013649,299951,1,560
EFTA00013650,571272,6,1415
EFTA00013656,194462,3,1123
EFTA00013659,55436,1,320
EFTA00013660,32632,1,141
EFTA00013661,217573,3,1541
EFTA00013664,25492,1,108
EFTA00013665,44034,1,130
EFTA00013666,450112,5,689
EFTA00013671,12542,1,22
EFTA00013672,12854,1,24
EFTA00013673,13788,1,28
EFTA00013674,13861,1,26
EFTA00013675,11873,1,19
EFTA00013676,14213,1,27
EFTA00013677,12850,1,25
EFTA00013678,34567,1,121
EFTA00013679,15762,1,22
EFTA00013680,1053211,9,2518
EFTA00013689,290272,4,505
EFTA00013693,32158,1,142
EFTA00013694,19571,1,62
EFTA00013695,35913,1,123
EFTA00013696,93229,2,493
EFTA00013698,365984,3,1037
EFTA00013701,51911,2,211
EFTA00013703,18639,1,61
EFTA00013704,66113,2,307
EFTA00013706,81432,2,414
EFTA00013708,193426,3,1127
EFTA00013711,23519,1,85
EFTA00013712,45809,1,177
EFTA00013713,52770,2,207
EFTA00013715,20921,1,44
EFTA00013716,21329,1,59
EFTA00013717,18180,1,49
EFTA00013718,19423,1,54
EFTA00013719,21323,1,73
EFTA00013720,29237,1,124
EFTA00013721,62836,2,280
EFTA00013723,25633,1,87
EFTA00013724,354951,1,644
EFTA00013725,50325,1,262
EFTA00013726,41598,1,208
EFTA00013727,28750,1,113
EFTA00013728,23769,1,85
EFTA00013729,25759,1,86
EFTA00013730,47453,1,259
EFTA00013731,15564,1,37
EFTA00013732,12583,1,25
EFTA00013733,107727,2,282
EFTA00013735,17195,1,43
EFTA00013736,21301,1,87
EFTA00013737,33704,1,145
EFTA00013738,29642,1,93
EFTA00013739,292125,4,1456
EFTA00013743,15127,1,36
EFTA00013744,16911,1,41
EFTA00013745,94141,2,433
EFTA00013747,91062,2,442
EFTA00013749,43203,1,233
EFTA00013750,82141,2,368
EFTA00013752,18036,1,56
EFTA00013753,27630,1,97
EFTA00013754,110509,2,559
EFTA00013756,62266,2,346
EFTA00013758,178709,3,1159
EFTA00013761,29897,1,133
EFTA00013762,23205,1,61
EFTA00013763,39621,1,134
EFTA00013764,23405,1,79
EFTA00013765,23583,1,103
EFTA00013766,120820,2,518
EFTA00013768,212556,1,259
EFTA00013769,243816,3,1109
EFTA00013772,137911,2,481
EFTA00013774,49107,1,254
EFTA00013775,23829,1,79
EFTA00013776,94607,2,372
EFTA00013778,180657,3,1019
EFTA00013781,38367,1,141
EFTA00013782,18235,1,74
EFTA00013783,66697,2,295
EFTA00013785,2701519,14,7727
EFTA00013799,11681,1,17
EFTA00013800,14156,1,23
EFTA00013801,1287515,10,3528
EFTA00013811,3113955,17,8642
EFTA00013828,77732,2,351
EFTA00013830,18776,1,54
EFTA00013831,37756,1,168
EFTA00013832,19345,1,57
EFTA00013833,44355,1,204
EFTA00013834,87158,2,475
EFTA00013836,27819,1,126
EFTA00013837,10826,1,23
EFTA00013838,11049,1,21
EFTA00013839,9948,1,15
EFTA00013840,13882,1,27
EFTA00013841,14241,1,37
EFTA00013842,10525,1,17
EFTA00013843,10265,1,19
EFTA00013844,11329,1,21
EFTA00013845,11034,1,19
EFTA00013846,10006,1,16
EFTA00013847,12245,1,20
EFTA00013848,15313,1,43
EFTA00013849,115809,1,268
EFTA00013850,328286,3,690
EFTA00013853,53777,2,223
EFTA00013855,239198,2,697
EFTA00013857,16432,1,47
EFTA00013858,248773,2,442
EFTA00013860,63701,2,247
EFTA00013862,12711,1,31
EFTA00013863,12428,1,28
EFTA00013864,11957,1,24
EFTA00013865,53568,2,255
EFTA00013867,60099,2,231
EFTA00013869,52175,2,208
EFTA00013871,92865,3,504
EFTA00013874,21548,1,76
EFTA00013875,13909,1,19
EFTA00013876,35660,1,140
EFTA00013877,28055,1,96
EFTA00013878,139855,2,702
EFTA00013880,25582,1,58
EFTA00013881,22764,1,80
EFTA00013882,22829,1,60
EFTA00013883,15540,1,29
EFTA00013884,91015,2,631
EFTA00013886,38318,1,213
EFTA00013887,26009,1,88
EFTA00013888,82506,1,320
EFTA00013889,24911,1,65
EFTA00013890,2323843,15,7045
EFTA00013905,76964,2,406
EFTA00013907,18869,1,43
EFTA00013908,22738,1,50
EFTA00013909,26168,1,74
EFTA00013910,117895,2,551
EFTA00013912,109908,1,259
EFTA00013913,26565,1,91
EFTA00013914,46862,1,205
EFTA00013915,33329,1,115
EFTA00013916,107889,2,773
EFTA00013918,42702,1,182
EFTA00013919,45358,1,224
EFTA00013920,32087,1,154
EFTA00013921,23921,1,85
EFTA00013922,35368,1,111
EFTA00013923,172442,3,830
EFTA00013926,1828121,16,4599
EFTA00013942,61749,1,325
EFTA00013943,31028,1,84
EFTA00013944,112715,2,457
EFTA00013946,21819,1,46
EFTA00013947,181759,2,845
EFTA00013949,126536,2,585
EFTA00013951,22294,1,42
EFTA00013952,60421,2,265
EFTA00013954,53182,1,243
EFTA00013955,224935,3,510
EFTA00013958,28664,1,108
EFTA00013959,60098,2,259
EFTA00013961,55176,2,227
EFTA00013963,38168,1,157
EFTA00013964,34331,1,135
EFTA00013965,70586,2,301
EFTA00013967,13061,1,27
EFTA00013968,52732,1,264
EFTA00013969,43736,2,139
EFTA00013971,67388,3,180
EFTA00013974,37189,1,182
EFTA00013975,52149,1,304
EFTA00013976,942688,9,2233
EFTA00013985,59658,2,173
EFTA00013987,68168,2,196
EFTA00013989,785136,5,2137
EFTA00013994,19114,1,58
EFTA00013995,25737,1,75
EFTA00013996,21199,1,73
EFTA00013997,25172,1,89
EFTA00013998,24087,1,72
EFTA00013999,73761,2,355
EFTA00014001,138301,2,768
EFTA00014003,70134,2,286
