efta,file_size_bytes,pages,words
EFTA00009676,2144441,37,10326
EFTA00009713,7162039,34,8620
EFTA00009747,1609472,20,4218
EFTA00009767,1541273,8,2207
EFTA00009775,1154353,6,1729
EFTA00009781,617030,5,1357
EFTA00009786,307310,5,1380
EFTA00009791,213143,3,379
EFTA00009794,146334,2,827
EFTA00009796,95816,2,546
EFTA00009798,89286,2,450
EFTA00009800,152606,2,948
EFTA00009802,293479,5,1777
EFTA00009807,17491,1,55
EFTA00009808,51056,1,186
EFTA00009809,1381611,14,2793
EFTA00009823,88700,2,313
EFTA00009825,19143,1,47
EFTA00009826,28347,1,71
EFTA00009827,73095,2,201
EFTA00009829,71860,2,281
EFTA00009831,51026,1,221
EFTA00009832,84430,2,250
EFTA00009834,774810,19,2855
EFTA00009853,22680,1,72
EFTA00009854,49223,2,201
EFTA00009856,45847,2,184
EFTA00009858,11504,1,20
EFTA00009859,22271,1,46
EFTA00009860,128906,3,672
EFTA00009863,44459,1,176
EFTA00009864,38252,1,159
EFTA00009865,166009,3,941
EFTA00009868,32917,1,178
EFTA00009869,27913,1,162
EFTA00009870,52486,3,152
EFTA00009873,104659,4,450
EFTA00009877,60569,2,305
EFTA00009879,93155,2,270
EFTA00009881,17236,1,40
EFTA00009882,28000,1,73
EFTA00009883,18483,1,49
EFTA00009884,13610,1,26
EFTA00009885,23468,1,50
EFTA00009886,13083,1,27
EFTA00009887,19063,1,38
EFTA00009888,12708,1,25
EFTA00009889,22897,1,50
EFTA00009890,273796,5,1669
EFTA00009895,36515,1,112
EFTA00009896,69277,1,215
EFTA00009897,66841,2,275
EFTA00009899,35818,1,171
EFTA00009900,16497,1,42
EFTA00009901,162735,3,624
EFTA00009904,481164,10,1429
EFTA00009914,72957,1,263
EFTA00009915,91107,2,290
EFTA00009917,29601,1,30
EFTA00009918,23422,1,34
EFTA00009919,24928,1,32
EFTA00009920,148905,3,789
EFTA00009923,26404,1,39
EFTA00009924,73953,2,296
EFTA00009926,19730,1,33
EFTA00009927,69123,1,287
EFTA00009928,24179,1,102
EFTA00009929,21426,1,82
EFTA00009930,38468,1,163
EFTA00009931,57137,2,256
EFTA00009933,108620,2,548
EFTA00009935,14050,1,21
EFTA00009936,21070,1,62
EFTA00009937,65111,2,254
EFTA00009939,69773,2,385
EFTA00009941,725693,11,4278
EFTA00009952,129642,2,347
EFTA00009954,108603,2,351
EFTA00009956,34844,1,71
EFTA00009957,15996,1,33
EFTA00009958,185349,3,897
EFTA00009961,15643,1,34
EFTA00009962,97563,2,461
EFTA00009964,46459,1,207
EFTA00009965,27510,1,87
EFTA00009966,166649,2,796
EFTA00009968,40647,1,179
EFTA00009969,40669,1,234
EFTA00009970,43939,1,246
EFTA00009971,45950,1,137
EFTA00009972,200007,3,935
