efta,file_size_bytes,pages,words
EFTA00000001,373984,0,0
EFTA00000002,575611,0,0
EFTA00000003,616136,0,0
EFTA00000004,659859,0,0
EFTA00000005,647068,0,0
EFTA00000006,690520,0,0
EFTA00000007,661535,0,0
EFTA00000008,455162,0,0
EFTA00000009,464628,0,0
EFTA00000010,475834,0,0
EFTA00000011,417957,0,0
EFTA00000012,421645,0,0
EFTA00000013,455155,0,0
EFTA00000014,444392,0,0
EFTA00000015,357459,0,0
EFTA00000016,407211,0,0
EFTA00000017,365241,0,0
EFTA00000018,397219,0,0
EFTA00000019,463248,0,0
EFTA00000020,442747,0,0
EFTA00000021,337171,0,0
EFTA00000022,373630,0,0
EFTA00000023,398955,0,0
EFTA00000024,411590,0,0
EFTA00000025,385853,0,0
EFTA00000026,385598,0,0
EFTA00000027,364587,0,0
EFTA00000028,366253,0,0
EFTA00000029,377763,0,0
EFTA00000030,383432,0,0
EFTA00000031,484765,0,0
EFTA00000032,512316,0,0
EFTA00000033,512955,0,0
EFTA00000034,402338,0,0
EFTA00000035,481336,0,0
EFTA00000036,415917,0,0
EFTA00000037,458389,0,0
EFTA00000038,382086,0,0
EFTA00000039,433733,0,0
EFTA00000040,350557,0,0
EFTA00000041,392388,0,0
EFTA00000042,398436,0,0
EFTA00000043,401309,0,0
EFTA00000044,400690,0,0
EFTA00000045,396387,0,0
EFTA00000046,388305,0,0
EFTA00000047,481397,0,0
EFTA00000048,567243,0,0
EFTA00000049,466415,0,0
EFTA00000050,496612,0,0
EFTA00000051,366317,0,0
EFTA00000052,381110,0,0
EFTA00000053,420595,0,0
EFTA00000054,409912,0,0
EFTA00000055,430518,0,0
EFTA00000056,428689,0,0
EFTA00000057,440864,0,0
EFTA00000058,415986,0,0
EFTA00000059,455074,0,0
EFTA00000060,481973,0,0
EFTA00000061,458529,0,0
EFTA00000062,551944,0,0
EFTA00000063,475018,0,0
EFTA00000064,435184,0,0
EFTA00000065,474223,0,0
EFTA00000066,472277,0,0
EFTA00000067,463283,0,0
EFTA00000068,477276,0,0
EFTA00000069,425495,0,0
EFTA00000070,459459,0,0
EFTA00000071,397382,0,0
EFTA00000072,403160,0,0
EFTA00000073,429492,0,0
EFTA00000074,440581,0,0
EFTA00000075,385940,0,0
EFTA00000076,359056,0,0
EFTA00000077,514707,0,0
EFTA00000078,434566,0,0
EFTA00000079,336704,0,0
EFTA00000080,389786,0,0
EFTA00000081,410595,0,0
EFTA00000082,415036,0,0
EFTA00000083,387604,0,0
EFTA00000084,431375,0,0
EFTA00000085,408017,0,0
EFTA00000086,400803,0,0
EFTA00000087,422193,0,0
EFTA00000088,379688,0,0
EFTA00000089,459252,0,0
EFTA00000090,495911,0,0
EFTA00000091,359701,0,0
EFTA00000092,408813,0,0
EFTA00000093,389438,0,0
EFTA00000094,346164,0,0
EFTA00000095,446253,0,0
EFTA00000096,351662,0,0
EFTA00000097,423455,0,0
EFTA00000098,378794,0,0
EFTA00000099,535246,0,0
EFTA00000100,377973,0,0
EFTA00000101,335140,0,0
EFTA00000102,435767,0,0
EFTA00000103,434710,0,0
EFTA00000104,426248,0,0
EFTA00000105,410579,0,0
EFTA00000106,400701,0,0
EFTA00000107,392353,0,0
EFTA00000108,435899,0,0
EFTA00000109,395331,0,0
EFTA00000110,430521,0,0
EFTA00000111,470069,0,0
EFTA00000112,481000,0,0
EFTA00000113,424363,0,0
EFTA00000114,411533,0,0
EFTA00000115,438098,0,0
EFTA00000116,427609,0,0
EFTA00000117,440622,0,0
EFTA00000118,456277,0,0
EFTA00000119,494606,0,0
EFTA00000120,480747,0,0
EFTA00000121,438750,0,0
EFTA00000122,466231,0,0
EFTA00000123,403589,0,0
EFTA00000124,451860,0,0
EFTA00000125,467720,0,0
EFTA00000126,468046,0,0
EFTA00000127,428947,0,0
EFTA00000128,446524,0,0
EFTA00000129,512879,0,0
EFTA00000130,459154,0,0
EFTA00000131,460805,0,0
EFTA00000132,410347,0,0
EFTA00000133,457596,0,0
EFTA00000134,523821,0,0
EFTA00000135,509403,0,0
EFTA00000136,516228,0,0
EFTA00000137,401832,0,0
EFTA00000138,430156,0,0
EFTA00000139,583682,0,0
EFTA00000140,505186,0,0
EFTA00000141,442396,0,0
EFTA00000142,422119,0,0
EFTA00000143,469800,0,0
EFTA00000144,434425,0,0
EFTA00000145,505561,0,0
EFTA00000146,476791,0,0
EFTA00000147,455031,0,0
EFTA00000148,539967,0,0
EFTA00000149,516158,0,0
EFTA00000150,539352,0,0
EFTA00000151,515248,0,0
EFTA00000152,542925,0,0
EFTA00000153,525150,0,0
EFTA00000154,377326,0,0
EFTA00000155,383492,0,0
EFTA00000156,371727,0,0
EFTA00000157,401719,0,0
EFTA00000158,320516,0,0
EFTA00000159,361445,0,0
EFTA00000160,397947,0,0
EFTA00000161,450045,0,0
EFTA00000162,419752,0,0
EFTA00000163,452998,0,0
EFTA00000164,456164,0,0
EFTA00000165,477022,0,0
EFTA00000166,501530,0,0
EFTA00000167,448075,0,0
EFTA00000168,543129,0,0
EFTA00000169,557481,0,0
EFTA00000170,664553,0,0
EFTA00000171,650755,0,0
EFTA00000172,597542,0,0
EFTA00000173,557634,0,0
EFTA00000174,470189,0,0
EFTA00000175,402756,0,0
EFTA00000176,485622,0,0
EFTA00000177,467347,0,0
EFTA00000178,461163,0,0
EFTA00000179,437223,0,0
EFTA00000180,389402,0,0
EFTA00000181,447367,0,0
EFTA00000182,443441,0,0
EFTA00000183,427134,0,0
EFTA00000184,424362,0,0
EFTA00000185,543681,0,0
EFTA00000186,529856,0,0
EFTA00000187,488357,0,0
EFTA00000188,429075,0,0
EFTA00000189,442626,0,0
EFTA00000190,431379,0,0
EFTA00000191,481141,0,0
