efta,file_size_bytes,pages,words
EFTA00005705,30168,2,85
EFTA00005707,154193,5,427
EFTA00005711,158814,3,645
EFTA00005714,94488,2,344
EFTA00005716,29758,1,92
EFTA00005717,29934,1,91
EFTA00005718,977187,6,508
EFTA00005731,895480,2,83
EFTA00005740,2052229,8,532
EFTA00005763,1429460,3,100
EFTA00005774,956311,4,329
EFTA00005783,959779,3,172
EFTA00005818,1566414,3,243
EFTA00005832,1309472,2,2
EFTA00005848,1133694,3,218
EFTA00005855,1334647,4,300
EFTA00005878,320957,1,11
EFTA00005899,326712,1,37
EFTA00005910,812361,3,25
EFTA00005924,2523735,6,578
EFTA00005932,2792952,11,1331
EFTA00005945,338655,1,6
EFTA00005946,383313,6,9
EFTA00005959,3102143,7,481
EFTA00005967,1350915,4,316
EFTA00005971,764840,2,342
EFTA00005994,17226272,7,450
EFTA00006025,4006210,10,797
EFTA00006036,520616,3,253
EFTA00006039,828652,4,15
EFTA00006043,473015,4,53
EFTA00006049,2175301,6,777
EFTA00006055,6031865,12,5446
EFTA00006066,222803,3,543
EFTA00006069,524643,3,1500
EFTA00006072,5129996,9,563
EFTA00006085,741239,8,1180
EFTA00006093,604737,6,573
EFTA00006099,38795,1,4
EFTA00006100,422335,4,1228
EFTA00006104,525057,4,843
EFTA00006107,805042,2,518
EFTA00006109,463909,0,0
EFTA00006209,463033,0,0
EFTA00006309,254087,0,0
EFTA00006364,136506,4,115
EFTA00006367,262455,2,152
EFTA00006369,212734,2,266
EFTA00006371,229299,2,8
EFTA00006374,493208,3,537
EFTA00006378,230818,1,229
EFTA00006380,381495,3,381
EFTA00006383,209067,1,201
EFTA00006385,30433,2,12
EFTA00006387,11140387,87,35713
EFTA00006487,10652824,93,35612
EFTA00006587,10863707,86,34116
EFTA00006687,10639771,66,24799
EFTA00006770,10691166,4,600
EFTA00006870,9467658,2,80
EFTA00006970,9584949,1,300
EFTA00007070,1850345,12,3430
EFTA00007086,34717,1,43
EFTA00007087,255004,4,359
EFTA00007091,1460984,5,478
EFTA00007097,10269424,53,9818
EFTA00007157,19482944,85,38194
EFTA00007253,5274015,30,6639
EFTA00007301,17648407,60,19713
EFTA00007401,17616081,84,27560
EFTA00007501,7964978,18,5775
EFTA00007543,1202720,2,3
EFTA00007546,1738746,2,17
EFTA00007550,1388036,3,144
EFTA00007553,1435686,0,0
EFTA00007556,1071734,0,0
EFTA00007558,588825,0,0
EFTA00007560,27242,0,0
EFTA00007561,605951,0,0
EFTA00007563,1270033,2,21
EFTA00007565,1916266,3,19
EFTA00007570,2136052,2,21
EFTA00007576,2349553,1,1
EFTA00007582,400577,2,400
EFTA00007585,6669775,15,896
EFTA00007600,1913808,5,1063
EFTA00007606,1819056,2,598
EFTA00007609,785066,4,451
EFTA00007612,500086,3,22
EFTA00007615,111786,1,5
EFTA00007616,60784,1,8
EFTA00007617,283343,10,120
EFTA00007632,880325,1,6
EFTA00007634,519863,1,23
EFTA00007635,864534,0,0
EFTA00007637,891193,2,22
EFTA00007639,1147033,2,145
EFTA00007641,86142,1,13
EFTA00007643,2501407,8,225
EFTA00007652,628687,1,13
EFTA00007654,6576890,26,864
EFTA00007680,391951,0,0
EFTA00007682,845929,2,10
EFTA00007684,628948,1,54
EFTA00007685,560441,1,231
EFTA00007686,533776,1,34
EFTA00007688,349213,0,0
EFTA00007689,360515,0,0
EFTA00007690,686396,2,6
EFTA00007692,357257,1,4
EFTA00007693,4636612,10,299
EFTA00007703,194538,1,252
EFTA00007704,3230118,7,54
EFTA00007714,1037225,4,107
EFTA00007720,3170473,12,698
EFTA00007735,714675,3,34
EFTA00007741,908958,3,31
EFTA00007747,575510,3,27
EFTA00007753,1318826,6,140
EFTA00007763,671119,3,76
EFTA00007769,1181900,4,91
EFTA00007775,676160,3,16
EFTA00007781,4466540,32,6979
EFTA00007824,10620937,25,6999
EFTA00007853,250126,7,134
EFTA00007859,1889242,5,912
EFTA00007864,1003332,9,263
EFTA00007872,395223,8,356
EFTA00007881,1211253,4,540
EFTA00007887,668478,4,66
EFTA00007893,15380967,54,8669
EFTA00007956,141873,1,16
EFTA00007959,134461,2,54
EFTA00007962,146619,3,66
EFTA00007965,143913,2,35
EFTA00007968,138995,1,6
EFTA00007971,275748,2,17
EFTA00007975,117910,2,31
EFTA00007978,210042,2,16
EFTA00007982,83110,0,0
EFTA00007984,139236,2,38
EFTA00007987,118304,0,0
EFTA00007990,288737,1,12
EFTA00007993,184702,2,14
EFTA00007998,795840,4,65
EFTA00008008,390620,4,308
EFTA00008015,1188902,2,239
EFTA00008018,693308,0,0
EFTA00008020,12522742,45,13518
EFTA00008120,11529296,46,13607
EFTA00008220,10787080,49,12558
EFTA00008320,10059546,44,12008
