efta,file_size_bytes,pages,words
EFTA00008409,535668,1,4
EFTA00008410,583036,1,391
EFTA00008411,634771,1,420
EFTA00008412,448572,0,0
EFTA00008413,603739,1,54
EFTA00008414,588227,1,3
EFTA00008415,481393,1,54
EFTA00008416,573143,1,6
EFTA00008417,511922,0,0
EFTA00008418,579325,1,2
EFTA00008419,516249,1,8
EFTA00008420,589354,1,3
EFTA00008421,497484,1,31
EFTA00008422,584260,1,2
EFTA00008423,476493,0,0
EFTA00008424,616063,1,2
EFTA00008425,528932,1,11
EFTA00008426,508182,1,31
EFTA00008427,597179,1,213
EFTA00008428,477297,1,13
EFTA00008429,586773,1,2
EFTA00008430,474099,1,4
EFTA00008431,582502,1,3
EFTA00008432,480827,1,6
EFTA00008433,566188,1,23
EFTA00008434,460276,1,45
EFTA00008435,553158,1,2
EFTA00008436,470598,1,3
EFTA00008437,607789,1,28
EFTA00008438,506019,1,26
EFTA00008439,596438,1,3
EFTA00008440,534415,1,55
EFTA00008441,620386,1,696
EFTA00008442,508858,1,33
EFTA00008443,622889,1,66
EFTA00008444,512440,1,12
EFTA00008445,618185,1,76
EFTA00008446,512164,1,10
EFTA00008447,613701,1,2
EFTA00008448,521339,1,11
EFTA00008449,474333,1,18
EFTA00008450,511104,1,12
EFTA00008451,587780,1,3
EFTA00008452,432950,1,49
EFTA00008453,590113,1,67
EFTA00008454,447406,1,4
EFTA00008455,625799,1,4
EFTA00008456,426741,1,1
EFTA00008457,580731,1,19
EFTA00008458,421412,1,1
EFTA00008459,620735,1,5
EFTA00008460,449945,1,9
EFTA00008461,586310,1,17
EFTA00008462,486211,1,25
EFTA00008463,578805,1,7
EFTA00008464,428738,0,0
EFTA00008465,591996,1,10
EFTA00008466,431332,0,0
EFTA00008467,592587,1,3
EFTA00008468,537105,1,34
EFTA00008469,595858,1,48
EFTA00008470,507978,1,50
EFTA00008471,588971,1,8
EFTA00008472,510375,1,20
EFTA00008473,595808,1,153
EFTA00008474,504749,1,71
EFTA00008475,593575,1,220
EFTA00008476,443694,0,0
EFTA00008477,561603,1,31
EFTA00008478,543510,0,0
EFTA00008479,571230,0,0
EFTA00008480,582191,1,618
EFTA00008481,602993,1,25
EFTA00008482,446520,1,201
EFTA00008483,432674,1,181
EFTA00008484,480513,1,164
EFTA00008485,427746,1,172
EFTA00008486,377561,1,189
EFTA00008487,405177,1,156
EFTA00008488,453184,1,190
EFTA00008489,445289,1,189
EFTA00008490,590213,1,6
EFTA00008491,660661,0,0
EFTA00008492,580681,1,14
EFTA00008493,648675,1,895
EFTA00008494,566475,1,26
EFTA00008495,548584,1,22
EFTA00008496,621211,1,350
EFTA00008497,596217,1,668
EFTA00008498,634261,1,11
EFTA00008499,587687,1,107
EFTA00008500,585865,1,90
EFTA00008501,563207,1,471
EFTA00008502,516194,1,10
EFTA00008503,560269,1,199
EFTA00008504,550984,0,0
EFTA00008505,448222,0,0
EFTA00008506,511896,0,0
EFTA00008507,553294,0,0
EFTA00008508,545400,1,5
EFTA00008509,478134,1,1
EFTA00008510,486841,1,3
EFTA00008511,576779,1,437
EFTA00008512,534837,1,24
EFTA00008513,535452,1,12
EFTA00008514,604429,1,371
EFTA00008515,546815,1,34
EFTA00008516,562450,1,7
EFTA00008517,513081,1,1
EFTA00008518,557069,0,0
EFTA00008519,655534,1,1143
EFTA00008520,501374,1,15
EFTA00008521,415020,1,5
EFTA00008522,562558,1,72
EFTA00008523,412465,1,1
EFTA00008524,636698,1,3
EFTA00008525,454234,0,0
EFTA00008526,566263,1,12
EFTA00008527,621127,1,1031
EFTA00008528,523961,1,3
